Cp,MaxDepth,MinSplit,Acc,Sen,Spe,MCC,F1,AUC
0,1,1,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,2,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,3,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,4,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,5,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,6,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,7,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,8,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,9,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,10,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,11,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,12,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,13,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,14,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,15,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,16,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,17,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,18,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,19,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,20,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,21,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,22,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,23,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,24,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,25,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,26,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,27,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,28,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,29,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,30,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,31,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,1,32,0.721153846,0.609375,0.9,0.503220661,0.728971963,0.7546875
0,2,1,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,2,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,3,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,4,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,5,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,6,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,7,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,8,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,9,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,10,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,11,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,12,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,13,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,14,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,15,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,16,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,17,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,18,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,19,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,20,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,21,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,22,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,23,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,24,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,25,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,26,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,27,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,28,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,29,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
